Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Flex,https://www.ycombinator.com/companies/flex,Summer 2023,Fintech; Payments,"Stripe for HSA/FSA payments. Founded in 2023 by Sam O'Keefe and Miguel Toledo, Flex has 8 employees based in . Flex is hiring for 1 roles in engineering.",https://www.axios.com/pro/fintech-deals/2024/09/04/flex-d2c-health-account-payments-seed,2023,,Sam O'Keefe; Miguel Toledo,https://linkedin.com/in/samokeefe; https://www.linkedin.com/in/migueltol22/,https://www.twitter.com/samok; 
Letterbook,https://www.ycombinator.com/companies/letterbook,Summer 2023,Consumer,"AI-native customer support platform. Founded in 2023 by Dawson Chen and Ethan Hou, Letterbook has 2 employees based in San Francisco, CA, USA.",https://www.letterbook.ai,2023,"San Francisco, CA, USA",Dawson Chen; Ethan Hou,https://linkedin.com/in/dawson-chen-9b62a8183; https://linkedin.com/in/ethan-hou10,https://x.com/darweenist; 
Healthtech 1,https://www.ycombinator.com/companies/healthtech-1,Summer 2023,Healthcare; Healthcare IT,"Automating repetitive processes in healthcare. Founded in 2021 by Peter Huang and Raj Kohli, Healthtech 1 has 28 employees based in London, UK. Healthtech 1 is hiring for 3 roles in engineering, sales, and operations.",https://www.healthtech1.uk,2021,"London, UK",Raj Kohli; Peter Huang; Problem,https://www.linkedin.com/in/rajkumarkohli/; https://www.linkedin.com/in/petejayhuang/; https://www.linkedin.com/in/petejayhuang/,https://twitter.com/rajpkohli; https://twitter.com/PeteJayHuang; 
Feanix Biotechnologies,https://www.ycombinator.com/companies/feanix-biotechnologies,Summer 2023,Industrials; Agriculture,"Farm Genetics Made Easy - Using DNA and Software. Founded in 2022 by Mitchell Angove and Tom Bishop, Feanix Biotechnologies has 5 employees based in . Feanix Biotechnologies is hiring for 1 roles in engineering.",https://www.feanixbio.com,2022,,Mitchell Angove; Tom Bishop; Share: LinkedIn Website,https://www.linkedin.com/in/mitchell-angove-044b53163/; https://www.linkedin.com/in/tom-bishop-64253a280/; https://www.linkedin.com/in/tom-bishop-64253a280/,; ; 
Orbio Earth,https://www.ycombinator.com/companies/orbio-earth,Summer 2023,B2B; Analytics,"Tracking methane emissions with satellites. Founded in 2021 by Jack Angela and Robert Huppertz, Orbio Earth has 6 employees based in .",https://www.orbio.earth,2021,,Robert Huppertz; Jack Angela,https://linkedin.com/in/robert-huppertz-6536a0122; https://linkedin.com/in/jack-angela-bab326a5,; 
Coba,https://www.ycombinator.com/companies/coba,Summer 2023,Fintech,"Dual Currency Accounts For LatAm. Founded in 2022 by Abraham Kuri Vargas, Eduardo Lopez De Leon, and Carlos Alberto Medellin Gonzalez, Coba has 9 employees based in Monterrey, Nuevo Leon, Mexico. Coba is hiring for 3 roles in design and engineering.",https://www.coba.ai,2022,"Monterrey, Nuevo Leon, Mexico",Abraham Kuri Vargas; Eduardo Lopez De Leon; Carlos Alberto Medellin Gonzalez,https://www.linkedin.com/in/abraham-kuri-vargas-b41a2126/; https://www.linkedin.com/in/elopezdeleon/; https://linkedin.com/in/carlos-medellin-cfo,https://www.twitter.com/kurenn; https://twitter.com/edolopez; 
Cembla,https://www.ycombinator.com/companies/cembla,Summer 2023,B2B; Legal,"AI for legal & government. Founded in 2023 by Benjamin Anderson and Brian Kim, Cembla has 2 employees based in San Francisco, CA, USA.",https://cembla.com,2023,"San Francisco, CA, USA",Brian Kim; Benjamin Anderson,https://linkedin.com/in/brian-kim-463a50142; https://linkedin.com/in/andersonbcdefg,https://twitter.com/brian_j_kim; 
Tempo,https://www.ycombinator.com/companies/tempo-2,Summer 2023,"B2B; Engineering, Product and Design","Visual Editor for React, powered by AI. Founded in 2023 by Peter Gokhshteyn and Kevin Michael, Tempo has 8 employees based in Toronto, ON, Canada. Tempo is hiring for 6 roles in design and engineering.",https://www.tempo.new,2023,"Toronto, ON, Canada",Kevin Michael; Peter Gokhshteyn; About Us:,https://linkedin.com/in/kevin1michael; https://linkedin.com/in/petergokhshteyn; https://www.linkedin.com/in/kevin1michael/,https://twitter.com/Kevin1Michael; ; https://x.com/Tempo_Labs
Oversteer,https://www.ycombinator.com/companies/oversteer,Summer 2023,B2B,"The most reliable browser agent for any web task. Founded in 2023 by Tim Jang, Oversteer has 1 employees based in Irvine, CA, USA.",https://oversteer.dev,2023,"Irvine, CA, USA",Tim Jang,https://linkedin.com/in/timjang3,
Cognitio Labs,https://www.ycombinator.com/companies/cognitio-labs,Summer 2023,Industrials,"Automating FDA-grade Traceability Requirements with Sensors and AI. Founded in 2025 by Diva Avaya Sharma, Cognitio Labs has  employees based in San Francisco, CA, USA.",https://cognitioiq.com,2025,"San Francisco, CA, USA",Diva Avaya Sharma; Company Launches,https://linkedin.com/in/diva-sharma; https://www.linkedin.com/in/diva-sharma/,https://twitter.com/adivawhocodes; 
