Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Pando Bioscience,https://www.ycombinator.com/companies/pando-bioscience,Winter 2023,Healthcare; Industrial Bio,"Gen-AI Designed Enzymes for Pharmaceutical Innovation. Founded in 2022 by Will Cao and Yang Wang, Pando Bioscience has 5 employees based in Boston, MA, USA.",https://pando.bio,2022,"Boston, MA, USA",Will Cao,https://www.linkedin.com/in/willcao/,https://twitter.com/cao_will
Metal,https://www.ycombinator.com/companies/metal-2,Winter 2023,B2B,"Metal is an AI-driven operating system for fundraising. Founded in 2023 by Usman Gul, Metal has 21 employees based in Los Angeles, CA, USA.",http://www.metal.so,2023,"Los Angeles, CA, USA",Usman Gul,https://pk.linkedin.com/in/gulsf,https://twitter.com/usmangul
Vaero,https://www.ycombinator.com/companies/vaero,Winter 2023,Consumer,"AI for Human Writing. Founded in 2023 by Bryant Lee, Vaero has 1 employees based in San Francisco, CA, USA.",https://vaero.ai,2023,"San Francisco, CA, USA",Bryant Lee; 🔬 The Problem:,https://www.linkedin.com/in/bryant-lee/; https://www.linkedin.com/in/bryant-lee/,; 
Yuma AI,https://www.ycombinator.com/companies/yuma-ai,Winter 2023,B2B; Operations,"The AI Support Agent for Ecommerce. Founded in 2023 by Guillaume Luccisano, Yuma AI has 26 employees based in Boston, MA, USA. Yuma AI is hiring for 5 roles in sales and engineering.",https://yuma.ai,2023,"Boston, MA, USA",Guillaume Luccisano,https://www.linkedin.com/in/guillaumeluccisano/,https://twitter.com/luckwi
Pierre,https://www.ycombinator.com/companies/pierre,Winter 2023,"B2B; Engineering, Product and Design","Pierre is a new, opinionated, git platform. Founded in 2023 by Ian Ownbey and Jacob Thornton, Pierre has 10 employees based in San Francisco, CA, USA.",https://pierre.co,2023,"San Francisco, CA, USA",Jacob Thornton; Ian Ownbey,https://www.linkedin.com/in/jacob-thornton-13a6a5162/; https://www.linkedin.com/in/ian-ownbey-4aa5ba117,https://twitter.com/fat; 
Automat,https://www.ycombinator.com/companies/automat,Winter 2023,B2B; Operations,"AI enabled RPA using ChatGPT and computer vision. Founded in 2023 by Gautam Bose and Lucas Ochoa, Automat has  employees based in San Francisco, CA, USA. Automat is hiring for 7 roles in operations, sales, engineering, and design.",https://www.runautomat.com,2023,"San Francisco, CA, USA",Lucas Ochoa; Gautam Bose,https://www.linkedin.com/in/lucas-ochoa-51222678/; https://www.linkedin.com/in/gautambose/,https://twitter.com/lucas0choa; 
SpecCheck,https://www.ycombinator.com/companies/speccheck,Winter 2023,B2B,"Unifying how the optical industry does business. Founded in 2022 by Joe DeMaria and Arnold Villatoro, SpecCheck has 5 employees based in Los Angeles, CA, USA.",https://www.axios.com/pro/health-tech-deals/2023/10/04/speccheck-raises-4m-seed-optical-payment-software,2022,"Los Angeles, CA, USA",Joe DeMaria; Arnold Villatoro; 😎 The Solution: SpecCheck,https://www.linkedin.com/in/joe-demaria-15a15943/; https://www.linkedin.com/in/arnold-villatoro-85629330; https://www.linkedin.com/in/joe-demaria-15a15943/,; ; https://www.speccheckrx.com/
Speedy Labs,https://www.ycombinator.com/companies/speedy-labs,Winter 2023,B2B; Finance and Accounting,"Maximize profits with AI-powered rebate management. Founded in 2023 by Ayush Jasuja, Jatin Mehta, and Ranti Dev Sharma, Speedy Labs has 8 employees based in . Speedy Labs is hiring for 3 roles in sales and engineering.",https://speedylabs.ai,2023,,Jatin Mehta; Ranti Dev Sharma; Ayush Jasuja,https://www.linkedin.com/in/jatinmehta1/; https://www.linkedin.com/in/rantidevsharma/; https://www.linkedin.com/in/jasujaayush/,https://twitter.com/j1mehta; ; 
Finta,https://www.ycombinator.com/companies/finta,Winter 2023,B2B; Finance and Accounting,"Magically simplify accounting and taxes. Founded in 2023 by Andy Wang, Finta has 2 employees based in San Francisco, CA, USA. Finta is hiring for 3 roles in engineering and design.",https://www.finta.com,2023,"San Francisco, CA, USA",Andy Wang,https://www.linkedin.com/in/a27wang/,https://www.twitter.com/andywang
LiteLLM,https://www.ycombinator.com/companies/litellm,Winter 2023,B2B,"Call every LLM API like it's OpenAI [100+ LLMs]. Founded in 2023 by Krrish Dholakia and Ishaan Jaffer, LiteLLM has 10 employees based in . LiteLLM is hiring for 8 roles in engineering, support, and sales.",https://www.litellm.ai,2023,,Krrish Dholakia; Ishaan Jaffer,https://www.linkedin.com/in/krish-d-959044116/; https://www.linkedin.com/in/reffajnaahsi/,https://twitter.com/krrish_dh; https://twitter.com/ishaan_jaff
Theya,https://www.ycombinator.com/companies/theya,Winter 2023,Fintech; Consumer Finance,"The world's simplest Bitcoin self-custody solution. Founded in 2023 by , Theya has 3 employees based in San Francisco, CA, USA.",https://www.theya.us,2023,"San Francisco, CA, USA",Vikas Choudhary; Smeet Bhatt; Sriram Bhargav Karnati,https://www.linkedin.com/in/vikasch90/; https://www.linkedin.com/in/smeetbhatt/; https://www.linkedin.com/in/srirambhargav,https://twitter.com/vikasch; https://twitter.com/smeet_bhatt; https://twitter.com/_sriramk_
Fetchr,https://www.ycombinator.com/companies/fetchr,Winter 2023,Consumer; Apparel and Cosmetics,"The Personal Shopper  in Your Pocket. Founded in 2023 by , Fetchr has 4 employees based in Hayes St, San Francisco, CA, USA.",https://www.fetchr.so,2023,"Hayes St, San Francisco, CA, USA",Calvin Chen; Calix Huang,https://www.linkedin.com/in/calvinchen-usc/; https://www.linkedin.com/in/calix-huang/,https://twitter.com/CalvinnChenn; https://twitter.com/calixo888
Warp,https://www.ycombinator.com/companies/warp,Winter 2023,B2B,"AI-native Employee Management Platform for High-Growth Companies. Founded in 2023 by Ayush Sharma, Warp has 40 employees based in New York, NY, USA.",https://www.joinwarp.com,2023,"New York, NY, USA",Ayush Sharma,https://www.linkedin.com/in/ayushsharma01/,https://x.com/ayushswrites
Adri AI,https://www.ycombinator.com/companies/adri-ai,Winter 2023,B2B; Security,"Vanta for AI. Founded in 2022 by Darshita Chaturvedi and Shyam Swaroop, Adri AI has 2 employees based in San Francisco, CA, USA.",https://www.getadri.ai,2022,"San Francisco, CA, USA",Darshita Chaturvedi; Shyam Swaroop; 🤕 Problem,https://www.linkedin.com/in/darshitac/; https://www.linkedin.com/in/shyamswaroop/; https://www.linkedin.com/in/shyamswaroop/,https://twitter.com/darshitac_; https://twitter.com/ShyamSwar; 
Vendora,https://www.ycombinator.com/companies/vendora,Winter 2023,B2B; Retail,"All-in-One Software for the $1T Grocery Industry. Founded in 2022 by Sunny Singh, Vendora has 4 employees based in New York, NY, USA. Vendora is hiring for 1 roles in engineering.",https://www.vendora.io,2022,"New York, NY, USA",Sunny Singh,https://www.linkedin.com/in/sunnysng/,https://twitter.com/yetanothersunny
Streamstraight,https://www.ycombinator.com/companies/streamstraight,Winter 2023,"B2B; Engineering, Product and Design","The best way to stream LLM thinking traces to your frontend. Founded in 2023 by Hansen Qian, Streamstraight has 1 employees based in San Francisco, CA, USA.",https://www.streamstraight.com,2023,"San Francisco, CA, USA",Hansen Qian,https://www.linkedin.com/in/hansenq,https://www.twitter.com/hansenq
Type,https://www.ycombinator.com/companies/type,Winter 2023,Consumer; Content,"The AI-first document editor. Founded in 2023 by Stew Fortier, Type has 4 employees based in New York, NY, USA. Type is hiring for 1 roles in engineering.",https://type.ai,2023,"New York, NY, USA",Stew Fortier; Thanks!,https://www.linkedin.com/in/stew-fortier-7422b829/; https://www.linkedin.com/in/stew-fortier/,https://twitter.com/stewfortier; 
Social Radar,https://www.ycombinator.com/companies/social-radar,Winter 2023,"B2B; Engineering, Product and Design","Social Radar is the best way to search for posts, people, and…. Founded in 2023 by Rohan Arora and Venkat Krishnan, Social Radar has 3 employees based in San Francisco, CA, USA. Social Radar is hiring for 2 roles in engineering.",https://socialradar.app,2023,"San Francisco, CA, USA",Rohan Arora; Venkat Krishnan,http://www.linkedin.com/in/meetrohanarora; https://www.linkedin.com/in/venkatvkrishnan/,https://twitter.com/rohanarora_; 
Persana AI,https://www.ycombinator.com/companies/persana-ai,Winter 2023,B2B; Sales,"Sales Agents with 100+ data sources to close more deals. Founded in 2023 by Sriya Maram and Rush Shahani, Persana AI has 2 employees based in San Francisco, CA, USA. Persana AI is hiring for 3 roles in engineering and marketing.",https://www.persana.ai,2023,"San Francisco, CA, USA",Sriya Maram; Rush Shahani,https://www.linkedin.com/in/sriyam; https://www.linkedin.com/in/rusheelshahani/,https://www.twitter.com/tweetsreez; https://twitter.com/RushShahani
Kyber,https://www.ycombinator.com/companies/kyber,Winter 2023,B2B; Operations,"Instantly draft, review, and send complex regulatory notices. Founded in 2022 by Arvind Sontha, Kyber has 5 employees based in New York, NY, USA. Kyber is hiring for 2 roles in sales and engineering.",https://askkyber.com,2022,"New York, NY, USA",Arvind Sontha,https://www.linkedin.com/in/arvind-sontha/,https://twitter.com/ArvindSontha
Escape,https://www.ycombinator.com/companies/escape,Winter 2023,B2B; Security,"Offensive security for the teams that are 100x outnumbered. Founded in 2020 by Antoine Carossio and Tristan Kalos, Escape has 29 employees based in New York, NY, USA. Escape is hiring for 15 roles in sales, engineering, marketing, and support.",https://escape.tech,2020,"New York, NY, USA",Tristan Kalos; Antoine Carossio,https://linkedin.com/in/tkalos; https://linkedin.com/in/acarossio,; https://twitter.com/icarossio
Atmeto,https://www.ycombinator.com/companies/atmeto,Winter 2023,Industrials; Energy,"We develop ML that optimizes how batteries in the grid store energy. Founded in 2022 by Jack O'Grady, Atmeto has 3 employees based in Los Angeles, CA, USA.",https://www.atmeto.com,2022,"Los Angeles, CA, USA",Jack O'Grady; What’s Happening,https://www.linkedin.com/in/jackogrady/; https://www.linkedin.com/in/jackogrady/,https://mobile.twitter.com/jack_ogrady; 
Modulari-T,https://www.ycombinator.com/companies/modulari-t,Winter 2023,Healthcare; Therapeutics,"We teach your immune system to attack and cure cancer. Founded in 2021 by Stephanie Mok and David White, Modulari-T has 4 employees based in Montreal, QC, Canada. Modulari-T is hiring for 1 roles in science.",https://modularit.bio,2021,"Montreal, QC, Canada",David White; Stephanie Mok; Modulari-T AWAY!,https://www.linkedin.com/in/david-white-modulari-t/; https://www.linkedin.com/in/stephmok/; https://www.linkedin.com/in/david-white-modulari-t/,; ; 
Skyhook,https://www.ycombinator.com/companies/skyhook,Winter 2023,"B2B; Engineering, Product and Design","PaaS-like experience with the power of Kubernetes, on your cloud. Founded in 2023 by Nadav Erell, Skyhook has 7 employees based in Tel Aviv-Yafo, Israel.",https://skyhook.io,2023,"Tel Aviv-Yafo, Israel",Nadav Erell; The Problem,https://www.linkedin.com/in/nadav-erell/; https://www.linkedin.com/in/nadav-erell/,https://twitter.com/nadaverell; 
Metal,https://www.ycombinator.com/companies/metal,Winter 2023,B2B; Finance and Accounting,"Institutional Intelligence for Private Equity. Founded in 2023 by Taylor Lowe, James O'Dwyer, and Sergio Prada, Metal has 17 employees based in New York, NY, USA.",https://metal.ai,2023,"New York, NY, USA",Taylor Lowe; James O'Dwyer; Sergio Prada,https://www.linkedin.com/in/taylorlowe11/; https://www.linkedin.com/in/jamesxodwyer; https://www.linkedin.com/in/sergiopradamora/,https://twitter.com/T__Lowe; https://twitter.com/softboyjimbo; https://twitter.com/sergioprada666
Texel.ai,https://www.ycombinator.com/companies/texel-ai,Winter 2023,B2B; Infrastructure,"Run AI pipelines 10x faster. Founded in 2023 by Eli Semory and Rahul Sheth, Texel.ai has 2 employees based in .",https://texel.ai,2023,,Rahul Sheth; Eli Semory,https://www.linkedin.com/in/rbsheth/; https://www.linkedin.com/in/eli-semory-8697b15/,; 
Vector,https://www.ycombinator.com/companies/vector,Winter 2023,B2B; Marketing,"Advertising for the new internet. Founded in 2022 by Nick Masters and Joshua Perk, Vector has 20 employees based in Boston, MA, USA. Vector is hiring for 3 roles in design and engineering.",https://vector.co,2022,"Boston, MA, USA",Joshua Perk; Nick Masters; The Shared Experience Graph™,https://www.linkedin.com/in/joshuaperk/; https://www.linkedin.com/in/nicholasamasters/; https://www.linkedin.com/in/joshuaperk/,https://twitter.com/Joshua_Perk; https://twitter.com/NickMasters83; 
Pier,https://www.ycombinator.com/companies/pier,Winter 2023,B2B,"Stripe for Credit - Trusted Credit Compliance Partner. Founded in 2022 by Jessica Zhang, Pier has 4 employees based in San Francisco, CA, USA. Pier is hiring for 2 roles in sales and engineering.",http://www.pier-finance.com,2022,"San Francisco, CA, USA",Jessica Zhang,https://www.linkedin.com/in/jessica-zhang-87967280/,
