Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Indemni,https://www.ycombinator.com/companies/indemni,Winter 2024,B2B; Supply Chain and Logistics,"Cargo Theft and Fraud Prevention Platform. Founded in 2024 by Omar Draz, Indemni has 7 employees based in Mission St, San Francisco, CA, USA. Indemni is hiring for 1 roles in engineering.",http://www.indemni.com,2024,"Mission St, San Francisco, CA, USA",Omar Draz,https://linkedin.com/in/odraz,https://twitter.com/oamdraz
ParcelBio,https://www.ycombinator.com/companies/parcelbio,Winter 2024,Healthcare; Therapeutics,"Next-generation mRNA medicines. Founded in 2023 by Chris Carlson and David Weinberg, ParcelBio has 5 employees based in .",https://parcelbio.com,2023,,David Weinberg; Chris Carlson,https://linkedin.com/in/david-e-weinberg; https://linkedin.com/in/christopher-carlson-,; 
K-Scale Labs,https://www.ycombinator.com/companies/k-scale-labs,Winter 2024,Consumer; Consumer Electronics,"Open-source humanoid robots. Founded in 2024 by Benjamin Bolte, K-Scale Labs has 10 employees based in Palo Alto, CA, USA.",https://kscale.dev,2024,"Palo Alto, CA, USA",Benjamin Bolte,https://linkedin.com/in/benjaminbolte,https://twitter.com/benjamin_bolte
Marr Labs,https://www.ycombinator.com/companies/marr-labs,Winter 2024,B2B,"AI-voice agents that are indistinguishable from humans. Founded in 2023 by Dave Grannan and Han Shu, Marr Labs has 9 employees based in San Francisco, CA, USA.",https://www.marrlabs.com,2023,"San Francisco, CA, USA",Dave Grannan; Han Shu,https://linkedin.com/in/grannan; https://linkedin.com/in/hanshu,; https://twitter.com/hshu
Forge Rewards,https://www.ycombinator.com/companies/forge-rewards,Winter 2024,B2B,"Starbucks app for restaurants. Founded in 2023 by Ethan Chang and Isaac Kan, Forge Rewards has 2 employees based in San Francisco, CA, USA.",https://www.joinforge.app,2023,"San Francisco, CA, USA",Ethan Chang; Isaac Kan; The Problem,https://linkedin.com/in/changethan; https://linkedin.com/in/isaackan; https://www.linkedin.com/in/changethan/,https://twitter.com/ethchang20; ; 
Dropback,https://www.ycombinator.com/companies/dropback,Winter 2024,Fintech,"The front office software suite for college sports. Founded in 2024 by Luke Bogus and Nick Siscoe, Dropback has 2 employees based in .",https://www.dropback.com,2024,,Luke Bogus; Nick Siscoe; 🥅 Asks:,https://linkedin.com/in/lukebogus; https://linkedin.com/in/nick-siscoe-58a1099b; https://linkedin.com/in/lukebogus,https://twitter.com/lukebogus; https://twitter.com/siscoe_; 
RetailReady,https://www.ycombinator.com/companies/retailready,Winter 2024,B2B; Supply Chain and Logistics,"An AI-powered supply chain compliance engine. Founded in 2024 by Sarah Hamer and Elle Smyth, RetailReady has 12 employees based in .",https://www.retailreadyai.com,2024,,Elle Smyth; Sarah Hamer; ⏪ Backstory,https://linkedin.com/in/ellesmyth; https://linkedin.com/in/sarah-hamer-881bb6126; https://linkedin.com/in/sarah-hamer-881bb6126,; ; 
Same,https://www.ycombinator.com/companies/same,Winter 2024,Consumer; Content,"Build products without coding. Founded in 2023 by Aiden Bai and Nisarg Patel, Same has 5 employees based in San Francisco, CA, USA.",https://same.new,2023,"San Francisco, CA, USA",Aiden Bai; Nisarg Patel,https://linkedin.com/in/aidenbai; https://linkedin.com/in/nisargptel,https://twitter.com/aidenybai; https://twitter.com/nisargptel
NowHouse,https://www.ycombinator.com/companies/nowhouse,Winter 2024,Fintech,"NowHouse helps stock brokerages settle trades instantly. Founded in 2024 by Dhaval Gajiwala, NowHouse has 0 employees based in .",https://www.nowhouse.io,2024,,Dhaval Gajiwala; Now,; ,; 
GetCrux,https://www.ycombinator.com/companies/getcrux,Winter 2024,B2B; Analytics,"AI Creative Strategist. Founded in 2022 by Himank Jain, Atharva Padhye, and Prabhat Singh, GetCrux has 9 employees based in San Francisco, CA, USA. GetCrux is hiring for 2 roles in engineering and support.",http://getcrux.ai,2022,"San Francisco, CA, USA",Himank Jain; Atharva Padhye; Prabhat Singh,https://linkedin.com/in/himank1; https://linkedin.com/in/atharvapadhyecrux; https://linkedin.com/in/prabhat7758,https://twitter.com/Himank_jain1; https://twitter.com/almostpaddy; 
Reprompt,https://www.ycombinator.com/companies/reprompt,Winter 2024,"B2B; Engineering, Product and Design","AI Agents for Location. Founded in 2024 by Rob Balian and Lukas Martinelli, Reprompt has 3 employees based in . Reprompt is hiring for 3 roles in engineering and sales.",https://repromptai.com,2024,,Lukas Martinelli; Rob Balian; Company Launches,https://linkedin.com/in/lukas-martinelli; https://linkedin.com/in/robbalian; https://linkedin.com/in/lukas-martinelli,https://twitter.com/lukmartinelli; https://twitter.com/robbalian; 
InspectMind AI,https://www.ycombinator.com/companies/inspectmind-ai,Winter 2024,Real Estate and Construction; Construction,"AI agent for construction drawings review. Founded in 2023 by Aakash Prasad and Shuangling Yin, InspectMind AI has 3 employees based in San Francisco, CA, USA. InspectMind AI is hiring for 1 roles in engineering.",https://www.inspectmind.ai,2023,"San Francisco, CA, USA",Aakash Prasad; Shuangling Yin,https://linkedin.com/in/aakashprasad; https://linkedin.com/in/shuangly,; https://x.com/shuangling_yin
Yarn,https://www.ycombinator.com/companies/yarn-2,Winter 2024,B2B,"Make sales and marketing videos with AI. Founded in 2023 by Nicole Atack and Jasper Story, Yarn has 6 employees based in New York, NY, USA. Yarn is hiring for 2 roles in design and engineering.",https://www.yarn.so,2023,"New York, NY, USA",Nicole Atack; Jasper Story,; ,; 
Blacksmith,https://www.ycombinator.com/companies/blacksmith,Winter 2024,B2B; Infrastructure,"The fastest way to run your GitHub Actions. Founded in 2024 by Aditya (JP) Jayaprakash, Aditya Maru, and Aayush Shah, Blacksmith has 3 employees based in .",https://blacksmith.sh,2024,,Aditya (JP) Jayaprakash; Aditya Maru; Aayush Shah; Company Launches,https://linkedin.com/in/adijp; https://linkedin.com/in/maruaditya; https://linkedin.com/in/aayushshah15; https://linkedin.com/in/aayushshah15,https://twitter.com/adijayaprakash; https://twitter.com/adityamaru27; ; https://x.com/aayush_shah15/status/1759253159514374552?s=20
CrowdVolt,https://www.ycombinator.com/companies/crowdvolt,Winter 2024,Consumer,"The integration layer for live events infrastructure . Founded in 2024 by Max Hammer, Josh Karol, and Aria Mohseni, CrowdVolt has 8 employees based in New York, NY, USA. CrowdVolt is hiring for 1 roles in engineering.",https://crowdvolt.com,2024,"New York, NY, USA",Max Hammer; Josh Karol; Aria Mohseni; 🌃 Background,https://linkedin.com/in/max-hammer-2360571b2; https://linkedin.com/in/josh-karol-4b1a97143; https://linkedin.com/in/ariamohseni; https://www.linkedin.com/in/josh-karol-4b1a97143/,; ; ; 
kater.ai,https://www.ycombinator.com/companies/kater-ai,Winter 2024,B2B; Analytics,"Deliver complete data analysis from a single question. Founded in 2023 by Yvonne Chou and Robin Seitz, kater.ai has 3 employees based in San Francisco, CA, USA.",https://www.kater.ai,2023,"San Francisco, CA, USA",Yvonne Chou; Robin Seitz; 👋 Hey Everyone,https://linkedin.com/in/yvonne-chou; https://linkedin.com/in/robin-seitz-12029970; https://linkedin.com/in/yvonne-chou,; ; 
Mathos,https://www.ycombinator.com/companies/mathos,Winter 2024,Education,"Ultimate AI Math Problem Solver to Revolutionize Personalized Learning. Founded in 2023 by Qi Lyu and Tianwei Yue, Mathos has 5 employees based in Santa Clara, CA, USA.",https://info.mathos.ai,2023,"Santa Clara, CA, USA",Tianwei Yue,https://linkedin.com/in/tianwei-yue,https://twitter.com/VyvyenYue
Tower,https://www.ycombinator.com/companies/tower,Winter 2024,B2B; Legal,"M&A due diligence platform powered by AI. Founded in 2024 by Adam Dorfman and Andy Zhang, Tower has 2 employees based in San Francisco, CA, USA.",https://withtower.com,2024,"San Francisco, CA, USA",Adam Dorfman; Andy Zhang,https://linkedin.com/in/adam-dorfman; https://www.linkedin.com/in/andy-z/,https://twitter.com/headcaffeinator; https://twitter.com/UnholyCucumber
Quivr,https://www.ycombinator.com/companies/quivr,Winter 2024,B2B; Productivity,"AI-powered auto-resolutions and reply suggestions for customer…. Founded in 2024 by Antoine Dewez and Stan Girard, Quivr has 5 employees based in Paris, France.",https://www.quivr.app,2024,"Paris, France",Stan Girard; Antoine Dewez; 💢 Impacts:,https://www.linkedin.com/in/stan-girard/; https://linkedin.com/in/antoine-dewez-367774157; https://linkedin.com/in/stanislas-girard,https://twitter.com/_stangirard; ; 
Dragoneye,https://www.ycombinator.com/companies/dragoneye,Winter 2024,"B2B; Engineering, Product and Design","Custom video detection models in less than 5 minutes. Founded in 2023 by Alex Liao, Dragoneye has 2 employees based in New York, NY, USA.",https://dragoneye.ai,2023,"New York, NY, USA",Alex Liao,https://linkedin.com/in/alexliaoo,
renderlet,https://www.ycombinator.com/companies/renderlet,Winter 2024,"B2B; Engineering, Product and Design","Build interactive applications that run anywhere. Founded in 2024 by Sean Isom, renderlet has 2 employees based in Broad St, New York, NY, USA.",http://renderlet.com,2024,"Broad St, New York, NY, USA",Sean Isom; About Us,https://linkedin.com/in/isom; https://linkedin.com/in/isom,https://twitter.com/theisomizer; 
Latted,https://www.ycombinator.com/companies/latted,Winter 2024,"B2B; Engineering, Product and Design","A Unified Editor For AI Video. Founded in 2024 by Emre Gucer and Metehan Öz, Latted has 2 employees based in San Francisco, CA, USA.",https://latted.com,2024,"San Francisco, CA, USA",Emre Gucer; Metehan Öz; 💥Problem,https://linkedin.com/in/aegucer; https://linkedin.com/in/metehan-oz-a39981251; https://linkedin.com/in/aegucer,; ; 
The New Money Company,https://www.ycombinator.com/companies/the-new-money-company,Winter 2024,Fintech; Payments,"Invoicing that pays you even if your buyer doesn’t. Founded in 2023 by Reuben Balik, Q Carlson, and Derrick Wolbert, The New Money Company has 4 employees based in San Francisco, CA, USA.",https://newmoneycompany.com,2023,"San Francisco, CA, USA",Derrick Wolbert; Reuben Balik; Q Carlson; Problem,https://linkedin.com/in/derrickwolbert; https://linkedin.com/in/reuben-balik; https://linkedin.com/in/qcarlson; https://www.linkedin.com/in/reuben-balik/,; ; http://twitter.com/qcintheair; 
Forge,https://www.ycombinator.com/companies/forge,Winter 2024,B2B; Supply Chain and Logistics,"Getting companies refunds on tariffs & duties. Founded in 2023 by Emir Sahmanovic and Haris Sahmanovic, Forge has 3 employees based in New York, NY, USA. Forge is hiring for 2 roles in engineering and operations.",https://www.forgehq.com,2023,"New York, NY, USA",Emir Sahmanovic; Haris Sahmanovic,https://linkedin.com/in/emir-sahmanovic-976b71b5; https://linkedin.com/in/haris-sahmanovic-438884126,; 
Integuru,https://www.ycombinator.com/companies/integuru,Winter 2024,"B2B; Engineering, Product and Design","Generate the most robust APIs with any website. Founded in 2024 by Alan Lu and Richard Zhang, Integuru has 4 employees based in San Francisco, CA, USA.",https://www.integuru.ai,2024,"San Francisco, CA, USA",Richard Zhang; Alan Lu,https://linkedin.com/in/richardfzhang; https://linkedin.com/in/alan-lu-57094517b,https://twitter.com/richardfzhang; 
