Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Zephyr Fusion,https://www.ycombinator.com/companies/zephyr-fusion,Fall 2025,Industrials; Energy,"Powering tomorrow's industrial revolution in space. Founded in 2025 by Galen Burke and Edward Hinson, Zephyr Fusion has 2 employees based in San Diego, CA, USA.",https://www.zephyrfusion.com,2025,"San Diego, CA, USA",Edward Hinson; Galen Burke,https://www.linkedin.com/in/edward-hinson-078b15143/; https://www.linkedin.com/in/galen-burke-78923317/,; 
Mayflower,https://www.ycombinator.com/companies/mayflower,Fall 2025,Government,"AI plug-in that automates HR immigration screening and compliance. Founded in 2025 by Naren Chittem and Aryan Gulati, Mayflower has 2 employees based in San Francisco, CA, USA.",https://mayflowervisa.com,2025,"San Francisco, CA, USA",Naren Chittem; Aryan Gulati,https://www.linkedin.com/in/naren-chittem-aaa43826b/; https://linkedin.com/in/aryanguls,https://x.com/NarenChittem; https://x.com/aryanguls
Rivet,https://www.ycombinator.com/companies/rivet-design,Fall 2025,"B2B; Engineering, Product and Design","Visual editor to design in production code. Founded in 2025 by Sam Gorman, Rivet has  employees based in San Francisco, CA, USA.",https://rivet.design,2025,"San Francisco, CA, USA",Sam Gorman,https://www.linkedin.com/in/gormansam,https://x.com/gormankind
Openroll,https://www.ycombinator.com/companies/openroll,Fall 2025,B2B,"The AI workforce for People and Finance teams. Founded in 2024 by Porsev Aslan and Mattias Lindell, Openroll has 4 employees based in Stockholm, Sweden.",https://www.openroll.com,2024,"Stockholm, Sweden",Mattias Lindell; Porsev Aslan,https://www.linkedin.com/in/lindellmattias/; https://www.linkedin.com/in/porsev-aslan/,https://x.com/MattiasLindll; 
Amika,https://www.ycombinator.com/companies/amika,Fall 2025,B2B; Infrastructure,"Infra to build your own software factory. Founded in 2023 by Jakub Cichon and Dylan Mikus, Amika has 2 employees based in New York, NY, USA.",https://www.amika.dev,2023,"New York, NY, USA",Dylan Mikus; Jakub Cichon; Launch Video,https://linkedin.com/in/dbmikus; https://linkedin.com/in/jakub-cichon-14016a3b; https://www.linkedin.com/in/jakub-c-14016a3b/,https://twitter.com/dbmikus; ; 
Bear,https://www.ycombinator.com/companies/bear,Fall 2025,B2B; Marketing,"Marketing Stack for AI Agents. Founded in 2025 by Siddhant Paliwal and Janak Sunil, Bear has 2 employees based in San Francisco, CA, USA.",https://usebear.ai,2025,"San Francisco, CA, USA",Janak Sunil; Siddhant Paliwal; TLDR ⚡️,https://www.linkedin.com/in/janaksunil/; https://www.linkedin.com/in/siddhantpaliwal/; https://www.linkedin.com/in/janaksunil/,https://x.com/janaksunil; https://x.com/siddhantpa1iwal; 
Moss,https://www.ycombinator.com/companies/moss,Fall 2025,B2B,"Real-time semantic search for Conversational AI. Founded in 2024 by Sri Raghu Malireddi and Harsha Nalluru, Moss has 5 employees based in San Mateo, CA, USA. Moss is hiring for 1 roles in design.",https://moss.dev,2024,"San Mateo, CA, USA",Sri Raghu Malireddi; Harsha Nalluru; The Problem,https://www.linkedin.com/in/r4ghu; https://www.linkedin.com/in/imharshanalluru/; https://www.linkedin.com/in/r4ghu,https://x.com/srimalireddi; https://x.com/ImHarshaNalluru; 
Zarna,https://www.ycombinator.com/companies/zarna,Fall 2025,B2B; Finance and Accounting,"AI Associates for Private Capital . Founded in 2025 by Vivan Agrawal, Rishabh Dhariwal, Hrishi Joshi, and Rakesh Mehta, Zarna has 4 employees based in San Francisco, CA, USA.",https://www.zarnaai.com,2025,"San Francisco, CA, USA",Rishabh Dhariwal; Vivan Agrawal; Hrishi Joshi; Rakesh Mehta,https://www.linkedin.com/in/rishabh-dhariwal/; https://www.linkedin.com/in/vivan-agrawal; https://www.linkedin.com/in/rishij7/; https://www.linkedin.com/in/rakeshvmehta/,; ; ; https://x.com/rak3sh_m
MarkIt,https://www.ycombinator.com/companies/markit,Fall 2025,B2B; Supply Chain and Logistics,"AI Agents for Trade Compliance - Saving Companies from Tariffs. Founded in 2025 by Chanhyung Kim and Roland Saavedra, MarkIt has 2 employees based in San Francisco, CA, USA.",https://markittrade.com,2025,"San Francisco, CA, USA",Chanhyung Kim; Roland Saavedra; Chan: LinkedIn; Roland: LinkedIn,https://www.linkedin.com/in/chanhkim?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app; https://www.linkedin.com/in/rsaav; https://www.linkedin.com/in/chanhkim/; https://www.linkedin.com/in/rsaav/,; ; ; 
Clicks,https://www.ycombinator.com/companies/clicks,Fall 2025,B2B; Productivity,"AI agents for your back-office operations. Founded in 2025 by Dominik Helmreich and Oliver Knapp, Clicks has 4 employees based in San Francisco, CA, USA. Clicks is hiring for 3 roles in sales and engineering.",https://goclicks.ai,2025,"San Francisco, CA, USA",Dominik Helmreich; Oliver Knapp,https://www.linkedin.com/in/dominik-helmreich-30574a1b0/; https://www.linkedin.com/in/oliverkn/,; 
Fastshot,https://www.ycombinator.com/companies/fastshot,Fall 2025,"B2B; Engineering, Product and Design","Lovable for mobile apps. Founded in 2025 by Elvira Dzhuraeva and Dmitry Fatkhi, Fastshot has 3 employees based in .",https://www.fastshot.ai,2025,,Dmitry Fatkhi; Elvira Dzhuraeva,https://www.linkedin.com/in/fatkhi; https://www.linkedin.com/in/dzhuraeva,https://x.com/DmitryFatkhi; https://x.com/elvirafortune
